업소명,소재지,대분류,메뉴,별점,별점 수
덕산식당,대전광역시 동구 백룡로21번길 46-17 ,한식,"김치찌개, 된장찌개, 동태찌개, 라면",5,1
이백장 돈가스 자양점,"대전광역시 동구 백룡로21번길 46-19, 1층 ",일식,"돈가스, 치즈 돈가스, 경양식 돈가스, 쫄면, 만두, 냉모밀, 어묵우동",4.68,32
친친양꼬치,"대전광역시 동구 동대전로 185, 1층 ",외국음식,"양꼬치, 양등심구이, 소갈비살, 양갈비살",4.31,451
김밥나라 자양점,"대전광역시 동구 동대전로 184-7, 1층 ",분식,"김치찌개, 돈까스, 된장찌개, 순두부찌개, 비빔밥, 오므라이스, 김치볶음밥, 새우볶음밥, 김밥, 치즈김밥, 참치김밥, 갈비탕, 육개장, 만두, 칼국수, 만두국",4.49,148
이토우야(우송대점),"대전광역시 동구 동대전로 170, 1층 101호 ",일식,"등심돈까스, 안심돈까스, 치즈돈까스, 소바, 우동",4.56,502
족발야시장,"대전광역시 동구 동대전로 149, 지하1층 ",족발,"반반족발, 족마호크, 쟁반막국수, 편육, 떡볶이, 날치알 주먹밥",4.41,229
음식하우스,"대전광역시 동구 백룡로 17-1, 1층 ",한식,"고등어구이, 제육볶음, 돌솥비빔밥, 계란말이, 갈비탕, 육개장, 김치찌개, 된장찌개, 청국장",5,1
노인일자리사업단 착한할매 청춘국수,"대전광역시 동구 계족로 184-67, 1층 ",국수,"들깨칼국수, 들깨수제비, 오징어두부칼국수, 잔치국수, 해물파전, 감자전, 꼬마김밥, 만두",5,3
신통치킨 (자양점),대전광역시 동구 백룡로5번길 126 ,치킨,"후라이드치킨, 양념치킨, 마늘간장치킨, 불칸",4.28,73
분식쌀롱,대전광역시 동구 백룡로57번길 159 ,분식,"로제떡볶이, 순대, 쫄면, 제육덮밥, 떡볶이, 튀김, 치킨마요덮밥, 스팸마요덮밥",4.63,29
노랑통닭(우송대점),"대전광역시 동구 백룡로6번길 17, 1층 101호 ",치킨,"청양치킨, 후라이드치킨, 반반치킨, 마늘치킨, 양념치킨",4.46,338
솔파인 레스토랑,대전광역시 동구 동대전로 171 ,양식,"샐러드, 스테이크, 햄버거, 파스타, 스프",5,2
불닭발땡초동대문엽기떡볶이 대전우송대점,대전광역시 동구 동대전로 174 ,떡볶이,"떡볶이, 로제떡볶이, 짜장떡볶이, 마라떡볶이, 닭볶음탕, 닭발",4.46,493
쌍둥이네 떡볶이,"대전광역시 동구 백룡로 13, 1층 ",떡볶이,"떡볶이, 튀김, 순대, 염통",4.35,219
청년피자 대전동구점,"대전광역시 동구 백룡로21번길 46-13, 1층 102호 ",피자,"치즈피자, 페페로니피자, 포테이토피자, 콤비네이션피자, 불고기피자, 하와이안피자",4.57,78
엄마 맛집,"대전광역시 동구 동대전로218번길 33, 1층 ",한식,"잔치국수,  콩국수, 제육볶음, 닭볶음탕, 동태찌개, 백숙",5,1
